Current	Power
mA	mW
	green
0	0,001
10	0,001
20	0,0014
30	0,002
40	0,0027
50	0,0038
60	0,027
70	0,167
80	0,251
90	0,514
100	0,792
110	1,2
120	1,66
130	1,57
140	2,01
150	2,23
160	4,6
170	6,2
180	7,9
190	9,6
200	11,71
210	14,05
220	16,7
230	19,06
240	23,23
250	30
260	34,8
270	40,82
280	45,3
290	47,49
300	49,25
310	50,43
320	51,3
330	52,7
340	53,73
350	55,42
360	56,23
370	56,52
380	57,87
390	58,3
