522.04	-50.41
522.08	-50.4
522.12	-50.39
522.16	-50.38
522.2	-50.36
522.24	-50.34
522.28	-50.34
522.32	-50.31
522.36	-50.3
522.4	-50.29
522.44	-50.26
522.48	-50.24
522.52	-50.23
522.56	-50.21
522.6	-50.2
522.64	-50.2
522.68	-50.2
522.72	-50.18
522.76	-50.15
522.8	-50.1
522.84	-50.04
522.88	-49.98
522.92	-49.89
522.96	-49.82
523	-49.75
523.04	-49.69
523.08	-49.64
523.12	-49.58
523.16	-49.51
523.2	-49.44
523.24	-49.35
523.28	-49.29
523.32	-49.22
523.36	-49.17
523.4	-49.1
523.44	-49.03
523.48	-48.95
523.52	-48.87
523.56	-48.8
523.6	-48.75
523.64	-48.71
523.68	-48.69
523.72	-48.65
523.76	-48.62
523.8	-48.59
523.84	-48.58
523.88	-48.57
523.92	-48.55
523.96	-48.54
524	-48.52
524.04	-48.49
524.08	-48.49
524.12	-48.48
524.16	-48.48
524.2	-48.47
524.24	-48.43
524.28	-48.38
524.32	-48.32
524.36	-48.23
524.4	-48.13
524.44	-48.02
524.48	-47.89
524.52	-47.77
524.56	-47.65
524.6	-47.54
524.64	-47.45
524.68	-47.36
524.72	-47.29
524.76	-47.23
524.8	-47.19
524.84	-47.17
524.88	-47.17
524.92	-47.19
524.96	-47.22
525	-47.28
525.04	-47.33
525.08	-47.38
525.12	-47.44
525.16	-47.48
525.2	-47.54
525.24	-47.6
525.28	-47.65
525.32	-47.7
525.36	-47.75
525.4	-47.77
525.44	-47.78
525.48	-47.77
525.52	-47.75
525.56	-47.72
525.6	-47.68
525.64	-47.65
525.68	-47.61
525.72	-47.56
525.76	-47.51
525.8	-47.45
525.84	-47.38
525.88	-47.31
525.92	-47.24
525.96	-47.19
526	-47.15
526.04	-47.13
526.08	-47.1
526.12	-47.06
526.16	-47.02
526.2	-46.98
526.24	-46.93
526.28	-46.91
526.32	-46.88
526.36	-46.85
526.4	-46.82
526.44	-46.81
526.48	-46.82
526.52	-46.86
526.56	-46.91
526.6	-46.96
526.64	-46.95
526.68	-46.91
526.72	-46.86
526.76	-46.81
526.8	-46.76
526.84	-46.69
526.88	-46.62
526.92	-46.55
526.96	-46.51
527	-46.48
527.04	-46.5
527.08	-46.52
527.12	-46.58
527.16	-46.66
527.2	-46.76
527.24	-46.84
527.28	-46.9
527.32	-46.93
527.36	-46.95
527.4	-46.92
527.44	-46.88
527.48	-46.77
527.52	-46.67
527.56	-46.57
527.6	-46.47
527.64	-46.37
527.68	-46.27
527.72	-46.21
527.76	-46.16
527.8	-46.11
527.84	-46.06
527.88	-46.02
527.92	-45.97
527.96	-45.89
528	-45.75
528.04	-45.61
528.08	-45.45
528.12	-45.28
528.16	-45.12
528.2	-45.01
528.24	-44.97
528.28	-44.9
528.32	-44.84
528.36	-44.81
528.4	-44.8
528.44	-44.79
528.48	-44.76
528.52	-44.72
528.56	-44.65
528.6	-44.54
528.64	-44.42
528.68	-44.28
528.72	-44.14
528.76	-44.02
528.8	-43.9
528.84	-43.8
528.88	-43.72
528.92	-43.67
528.96	-43.65
529	-43.64
529.04	-43.65
529.08	-43.66
529.12	-43.68
529.16	-43.68
529.2	-43.66
529.24	-43.63
529.28	-43.57
529.32	-43.5
529.36	-43.42
529.4	-43.31
529.44	-43.18
529.48	-43.07
529.52	-42.95
529.56	-42.84
529.6	-42.73
529.64	-42.65
529.68	-42.57
529.72	-42.5
529.76	-42.43
529.8	-42.37
529.84	-42.34
529.88	-42.31
529.92	-42.28
529.96	-42.25
530	-42.21
530.04	-42.15
530.08	-41.94
530.12	-41.72
530.16	-41.48
530.2	-41.23
530.24	-40.99
530.28	-40.73
530.32	-40.5
530.36	-40.27
530.4	-40.03
530.44	-39.82
530.48	-39.63
530.52	-39.53
530.56	-39.46
530.6	-39.4
530.64	-39.34
530.68	-39.25
530.72	-39.15
530.76	-39.02
530.8	-38.87
530.84	-38.68
530.88	-38.5
530.92	-38.33
530.96	-38.16
531	-38
531.04	-37.82
531.08	-37.63
531.12	-37.33
531.16	-37.05
531.2	-36.8
531.24	-36.55
531.28	-36.28
531.32	-35.96
531.36	-35.58
531.4	-35.12
531.44	-34.52
531.48	-31.77
531.52	-29.98
531.56	-29.33
531.6	-27.66
531.64	-24.52
531.68	-22.67
531.72	-21.17
531.76	-19.14
531.8	-17.7
531.84	-16.44
531.88	-15.34
531.92	-13.55
531.96	-12.61
532	-11.76
532.04	-11.04
532.08	-10.35
532.12	-9.72
532.16	-9.18
532.2	-8.65
532.24	-8.17
532.28	-7.73
532.32	-7.42
532.36	-7.14
532.4	-6.92
532.44	-6.76
532.48	-6.66
532.52	-6.69
532.56	-6.77
532.6	-6.89
532.64	-7.08
532.68	-7.34
532.72	-7.7
532.76	-8.12
532.8	-8.62
532.84	-9.24
532.88	-9.92
532.92	-10.63
532.96	-11.27
533	-12.04
533.04	-12.89
533.08	-13.81
533.12	-14.85
533.16	-16
533.2	-17.28
533.24	-18.74
533.28	-19.83
533.32	-21.12
533.36	-22.62
533.4	-24.35
533.44	-25.54
533.48	-27.04
533.52	-28.8
533.56	-30.03
533.6	-31.54
533.64	-33.3
533.68	-35.23
533.72	-35.94
533.76	-36.48
533.8	-37.12
533.84	-37.77
533.88	-38.39
533.92	-38.93
533.96	-39.35
534	-39.49
534.04	-39.64
534.08	-39.77
534.12	-39.92
534.16	-40.09
534.2	-40.28
534.24	-40.43
534.28	-40.52
534.32	-40.59
534.36	-40.65
534.4	-40.73
534.44	-40.83
534.48	-40.96
534.52	-41.09
534.56	-41.21
